starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 13:02:07 2018	1523905327	0	40	40	40
Mon Apr 16 13:02:06 2018	1523905326	0	40	40	40
Mon Apr 16 13:02:07 2018	1523905327	1	39	40	39
Mon Apr 16 13:02:07 2018	1523905327	0	40	40	40
Mon Apr 16 13:02:08 2018	1523905328	0	40	40	40
Mon Apr 16 13:02:05 2018	1523905325	0	40	40	40
Mon Apr 16 13:02:05 2018	1523905325	0	40	40	40
Mon Apr 16 13:02:05 2018	1523905325	0	40	40	40
Mon Apr 16 13:02:05 2018	1523905325	0	40	40	40
Mon Apr 16 13:02:06 2018	1523905326	0	40	40	40
Mon Apr 16 13:02:08 2018	1523905328	0	40	40	40
Mon Apr 16 13:02:04 2018	1523905324	0	41	41	41
Mon Apr 16 13:02:07 2018	1523905327	0	41	41	41
Mon Apr 16 13:02:08 2018	1523905328	0	41	41	41
Mon Apr 16 13:02:05 2018	1523905325	0	41	41	41
Mon Apr 16 13:02:06 2018	1523905326	1	40	41	40
Mon Apr 16 13:02:06 2018	1523905326	0	42	42	42
Mon Apr 16 13:02:05 2018	1523905325	0	42	42	42
Mon Apr 16 13:02:05 2018	1523905325	1	41	42	41
Mon Apr 16 13:02:08 2018	1523905328	1	41	42	41
Mon Apr 16 13:02:04 2018	1523905324	1	41	42	41
Mon Apr 16 13:02:07 2018	1523905327	0	42	42	42
Mon Apr 16 13:02:07 2018	1523905327	0	42	42	42
Mon Apr 16 13:02:06 2018	1523905326	0	42	42	42
Mon Apr 16 13:02:04 2018	1523905324	0	42	42	42
Mon Apr 16 13:02:07 2018	1523905327	0	42	42	42
Mon Apr 16 13:02:07 2018	1523905327	0	42	42	41
Mon Apr 16 13:02:08 2018	1523905328	1	41	42	41
Mon Apr 16 13:02:07 2018	1523905327	0	42	42	42
Mon Apr 16 13:02:06 2018	1523905326	0	42	42	42
Mon Apr 16 13:02:05 2018	1523905325	0	42	42	42
Mon Apr 16 13:02:08 2018	1523905328	0	43	43	43
Mon Apr 16 13:02:04 2018	1523905324	0	43	43	43
Mon Apr 16 13:02:03 2018	1523905323	0	43	43	43
Mon Apr 16 13:02:05 2018	1523905325	0	43	43	43
Mon Apr 16 13:02:07 2018	1523905327	0	43	43	43
Mon Apr 16 13:02:07 2018	1523905327	1	42	43	42
Mon Apr 16 13:02:06 2018	1523905326	0	43	43	43
Mon Apr 16 13:02:06 2018	1523905326	1	42	43	42
Mon Apr 16 13:02:07 2018	1523905327	1	42	43	42
Mon Apr 16 13:02:03 2018	1523905323	0	43	43	43
Mon Apr 16 13:02:07 2018	1523905327	0	43	43	43
Mon Apr 16 13:02:06 2018	1523905326	0	43	43	43
Mon Apr 16 13:02:05 2018	1523905325	0	43	43	43
Mon Apr 16 13:02:06 2018	1523905326	0	43	43	43
Mon Apr 16 13:02:06 2018	1523905326	0	43	43	43
Mon Apr 16 13:02:06 2018	1523905326	0	43	43	43
Mon Apr 16 13:02:05 2018	1523905325	0	44	44	44
Mon Apr 16 13:02:05 2018	1523905325	1	43	44	43
Mon Apr 16 13:02:06 2018	1523905326	1	43	44	43
Mon Apr 16 13:02:03 2018	1523905323	1	43	44	43
Mon Apr 16 13:02:05 2018	1523905325	0	44	44	44
Mon Apr 16 13:02:05 2018	1523905325	1	43	44	43
Mon Apr 16 13:02:06 2018	1523905326	0	44	44	43
Mon Apr 16 13:02:07 2018	1523905327	0	44	44	44
Mon Apr 16 13:02:08 2018	1523905328	0	44	44	44
Mon Apr 16 13:02:04 2018	1523905324	0	44	44	44
Mon Apr 16 13:02:08 2018	1523905328	0	44	44	44
Mon Apr 16 13:02:04 2018	1523905324	0	44	44	44
Mon Apr 16 13:02:08 2018	1523905328	0	44	44	44
Mon Apr 16 13:02:07 2018	1523905327	0	44	44	44
Mon Apr 16 13:02:07 2018	1523905327	1	43	44	43
Mon Apr 16 13:02:05 2018	1523905325	0	45	45	45
Mon Apr 16 13:02:03 2018	1523905323	0	45	45	45
Mon Apr 16 13:02:02 2018	1523905322	0	45	45	45
Mon Apr 16 13:02:03 2018	1523905323	0	45	45	45
Mon Apr 16 13:02:05 2018	1523905325	1	44	45	44
Mon Apr 16 13:02:04 2018	1523905324	1	44	45	44
Mon Apr 16 13:02:06 2018	1523905326	0	45	45	45
Mon Apr 16 13:02:05 2018	1523905325	0	45	45	45
Mon Apr 16 13:02:05 2018	1523905325	0	45	45	45
Mon Apr 16 13:02:05 2018	1523905325	0	45	45	45
Mon Apr 16 13:02:06 2018	1523905326	0	45	45	44
Mon Apr 16 13:02:05 2018	1523905325	1	45	46	44
Mon Apr 16 13:02:03 2018	1523905323	1	45	46	45
Mon Apr 16 13:02:07 2018	1523905327	0	46	46	46
Mon Apr 16 13:02:05 2018	1523905325	0	46	46	46
Mon Apr 16 13:02:05 2018	1523905325	0	46	46	46
Mon Apr 16 13:02:06 2018	1523905326	1	45	46	45
Mon Apr 16 13:02:07 2018	1523905327	0	46	46	46
Mon Apr 16 13:02:06 2018	1523905326	0	46	46	46
Mon Apr 16 13:02:05 2018	1523905325	1	45	46	45
Mon Apr 16 13:02:07 2018	1523905327	1	45	46	45
Mon Apr 16 13:02:07 2018	1523905327	0	46	46	46
Mon Apr 16 13:02:04 2018	1523905324	0	47	47	47
Mon Apr 16 13:02:05 2018	1523905325	1	46	47	46
Mon Apr 16 13:02:04 2018	1523905324	0	47	47	46
Mon Apr 16 13:02:04 2018	1523905324	0	47	47	47
Mon Apr 16 13:02:04 2018	1523905324	0	47	47	47
Mon Apr 16 13:02:08 2018	1523905328	0	47	47	47
Mon Apr 16 13:02:08 2018	1523905328	0	47	47	47
Mon Apr 16 13:02:07 2018	1523905327	0	47	47	47
Mon Apr 16 13:02:07 2018	1523905327	0	47	47	47
Mon Apr 16 13:02:05 2018	1523905325	0	47	47	47
Mon Apr 16 13:02:07 2018	1523905327	0	47	47	47
Mon Apr 16 13:02:05 2018	1523905325	0	47	47	47
Mon Apr 16 13:02:03 2018	1523905323	1	47	48	47
Mon Apr 16 13:02:05 2018	1523905325	1	47	48	47
Mon Apr 16 13:02:07 2018	1523905327	0	48	48	48
Mon Apr 16 13:02:07 2018	1523905327	0	48	48	48
Mon Apr 16 13:02:02 2018	1523905322	0	48	48	48
Mon Apr 16 13:02:07 2018	1523905327	0	48	48	48
Mon Apr 16 13:02:05 2018	1523905325	0	48	48	48
Mon Apr 16 13:02:04 2018	1523905324	0	48	48	48
Mon Apr 16 13:02:03 2018	1523905323	0	48	48	48
Mon Apr 16 13:02:05 2018	1523905325	0	48	48	48
Mon Apr 16 13:02:06 2018	1523905326	0	48	48	48
Mon Apr 16 13:02:06 2018	1523905326	0	48	48	48
Mon Apr 16 13:02:03 2018	1523905323	0	48	48	48
Mon Apr 16 13:02:05 2018	1523905325	1	48	49	48
Mon Apr 16 13:02:07 2018	1523905327	0	49	49	49
Mon Apr 16 13:02:08 2018	1523905328	0	49	49	49
Mon Apr 16 13:02:04 2018	1523905324	0	49	49	49
Mon Apr 16 13:02:04 2018	1523905324	0	49	49	49
Mon Apr 16 13:02:05 2018	1523905325	0	49	49	49
Mon Apr 16 13:02:07 2018	1523905327	0	49	49	49
Mon Apr 16 13:02:05 2018	1523905325	0	49	49	49
